"y","level"
-1.03915796931914,1
-0.464033846473653,1
-23.2817773688639,1
-12.6274918384373,1
-6.00543146361745,1
-10.9939633559677,1
9.35632265189144,1
-2.5654453272486,1
-30.8594381831361,1
-22.792517368439,1
-8.17846132814494,1
15.3579116325424,1
7.24373891983587,1
-25.7976369704416,1
-18.2534789956268,1
-18.114599696451,1
11.8794781152271,1
-4.17415005227107,1
-30.6024568685495,1
-13.0161516166724,1
-21.8414056077263,1
3.2482495201537,1
-2.17801638526954,1
3.50162555928775,1
-16.6325287105032,1
-0.726912087109666,1
-18.1540858422186,1
-0.284824184717264,1
-9.22118625755126,1
-8.68522962971762,1
-25.6711918007116,1
-7.59973838218172,1
-36.285490802639,1
-25.8228237330841,1
10.7650549264319,2
13.3862636728799,2
0.792179107494523,2
12.7986982225034,2
-13.2454443636437,2
8.72970759444739,2
-18.4622145267647,2
2.86961740603983,2
6.7613821385072,2
16.9193735292127,2
0.525492790298754,2
6.62683971298149,2
-2.15094092537829,2
-10.1982243415084,2
-1.78887053295221,2
3.60811225226589,2
16.6959358516562,2
-6.81461401745468,2
10.7898574115049,2
2.50573710816548,2
9.78975791688214,2
1.39644498148736,2
25.3413651492908,2
17.1995561714378,2
18.0472845296641,2
17.8741033722864,2
10.9983347062359,2
-14.2691091706584,2
-18.3683163648198,2
12.3691632148501,2
-2.63463320212182,2
15.2516895600338,2
0.238782243779639,2
-15.276532389124,2
4.40936011192355,2
18.480489929456,2
9.97624305482348,2
-2.31977473317741,2
0.599426063514022,3
15.3992532157895,3
2.23406804359312,3
1.30831609031464,3
-1.17769745849308,3
-3.49284149738048,3
0.190445936267497,3
-15.0050242385366,3
-8.90433139995526,3
11.9277451320425,3
3.95745574709086,3
9.10696345532036,3
11.2706689264249,3
-0.30179225437263,3
-11.3173258446803,3
-0.750586723175196,3
-0.743085157775345,3
15.7134469168342,3
-2.57807487866179,3
20.6921876937199,3
1.95553442368273,3
10.2246785193864,3
-24.2519005368737,3
-3.82957446996912,3
-16.0038248403471,3
11.2212103287983,3
-10.9605040170607,3
-5.17490604329708,3
-0.513380675811364,3
14.268177405759,3
-0.488788605775396,3
23.8940911604356,3
-0.606415649755384,3
8.185002580945,3
24.5738616529518,3
-2.19342204275489,3
1.66009986414188,3
0.798450537788222,3
-7.76299447447734,3
8.29767165252547,3
12.8449674809422,3
0.149800549443646,3
