"y","x"
14,7.72388783749193
14,8.63308813655749
7,7.86595468176529
5,2.80368131352589
3,1.34187007555738
3,3.68164282524958
8,4.13341520121321
7,3.77870998112485
7,6.3038783101365
18,9.72354677971452
7,4.66993248090148
13,4.80105015449226
15,9.46630669757724
10,3.53503479855135
19,7.32221714453772
4,2.17475133948028
2,0.410801731050014
5,1.66028901934624
3,1.43202076200396
6,3.38477034587413
8,5.6032564304769
8,8.00277027534321
13,9.82706433394924
8,6.40535842860118
18,9.24637907883152
16,7.9392838710919
3,0.940082082524896
16,7.517664891202
5,2.45792545145378
12,7.50417815288529
5,2.49451548559591
16,8.48439440596849
20,9.65870252344757
6,2.39484892226756
17,6.86334712896496
8,3.86797350598499
5,0.430013351142406
12,5.1803422276862
4,4.00773318950087
2,3.3172154892236
1,1.61874323384836
5,3.05712252156809
10,8.65207940805703
5,0.960084514226764
18,7.42745206924155
12,7.99906930886209
15,8.69734176667407
9,8.96182123105973
6,2.90230756392702
7,3.6937539302744
20,7.80166991986334
6,3.31765964161605
5,2.48408291256055
4,0.71563480887562
13,7.90914366953075
8,3.27577847056091
9,5.25873639853671
11,9.2902095685713
9,5.4362249863334
6,4.43680041469634
4,0.957877323962748
13,6.3490667915903
13,5.79268235480413
7,3.68284543510526
0,0.142455364111811
3,2.7356996294111
11,0.936566761229187
18,9.42666354821995
3,6.84536049840972
24,9.33806768152863
15,7.57678763475269
13,9.86973931314424
8,3.62924817716703
9,3.99128795601428
18,7.42118856171146
3,1.47108416771516
2,0.641984911635518
16,9.80233898153529
12,6.22027076547965
9,5.58836810523644
4,0.252806413918734
19,8.82507808040828
14,4.295453063678
10,8.55516688898206
8,5.58347888989374
11,5.54898781701922
23,8.39713517110795
3,0.165883197914809
9,3.5462051210925
23,9.78664845461026
15,5.53919375408441
18,5.51848222734407
3,2.75617094011977
4,1.15560859441757
6,1.02663718163967
5,2.82393510686234
7,2.85785534884781
7,5.82420312101021
11,4.53829980921
7,5.08459039730951
15,8.35135861299932
5,3.52946720086038
8,1.62422295194119
7,1.38134153094143
12,6.8527038116008
10,6.42615110846236
9,4.17670999420807
11,5.60745935654268
14,6.55107370810583
3,3.77591741271317
9,3.81975592346862
12,6.60621228162199
21,9.54973076004535
14,9.66912935487926
12,8.45335184596479
11,9.96447831625119
22,8.61542066326365
19,9.90740856388584
22,8.58328982954845
16,8.19871656130999
13,6.91413596272469
7,7.54819472087547
1,0.541634235996753
14,9.01474069571123
0,0.257458132691681
