"","y","lvl"
"1",8.8290591577773,1
"2",29.6415954211254,1
"3",6.96750256643059,1
"4",-52.1531044207203,1
"5",6.86786528730538,1
"6",-20.4025426032429,1
"7",-5.87463127669981,1
"8",38.9443404223213,1
"9",17.7875019430414,1
"10",6.92882096138801,1
"11",20.4154636939649,1
"12",32.2003953270592,1
"13",25.5229756776263,1
"14",-12.8482993242911,1
"15",12.5201266716178,1
"16",62.0779229801472,1
"17",44.7746210798644,1
"18",73.9249471993619,1
"19",31.0004293765857,1
"20",22.3915657749823,1
"21",29.6780052597089,1
"22",-16.3748128438481,1
"23",-11.8750684738265,1
"24",11.4332931127833,1
"25",20.277423513383,1
"26",59.8956139327288,1
"27",-15.6914619267354,1
"28",75.7673805243247,1
"29",34.5573941084876,1
"30",49.6655000398604,1
"31",33.0640372177325,1
"32",17.9804553807004,1
"33",-43.6321315054505,2
"34",-11.4683800577466,2
"35",1.57593178050032,2
"36",-20.1816370638407,2
"37",29.2651132778621,2
"38",41.2257560088114,2
"39",-12.4265012279,2
"40",35.1219934710974,2
"41",43.2432582913502,2
"42",-1.43256114148905,2
"43",68.0357897446504,2
"44",72.589084158501,2
"45",-33.3467173204079,2
"46",94.1062725626737,2
"47",56.3302753285244,2
"48",48.1558001783324,2
"49",-55.9630824664904,2
"50",22.2397778111993,2
"51",-19.5327515455166,2
"52",20.5625387170158,2
"53",116.314111294061,2
"54",28.9304090013679,2
"55",21.8297869018683,2
"56",-11.9892074839209,2
"57",78.4222498110604,2
"58",61.6830174768077,2
"59",67.5689304827167,2
"60",16.8200925169377,2
"61",0.0762687140560487,2
"62",27.948114754989,2
"63",-25.7782280016504,2
"64",-15.047544839345,2
"65",74.668523397126,2
"66",50.8887283638304,2
"67",61.8952546685537,2
"68",97.3121660163035,2
"69",85.4636812301209,2
"70",-60.8932565797166,2
"71",57.8896297502096,2
"72",55.3529319705962,2
