"y","group"
17.4673683589007,1
17.946638461272,1
-1.06814780738655,1
7.8104234679689,1
13.3288071136521,1
9.17169720336026,1
26.1302688765762,1
16.1954622272928,1
-7.38286515261339,1
-0.660431140365798,1
11.5179488932126,1
31.1315930271186,1
24.3697824331966,1
-3.164697475368,1
3.12210083697765,1
3.23783358629083,1
28.2328984293559,1
14.8548749564408,1
-7.16871405712455,1
7.48654031943963,1
0.132161993561438,1
21.0402079334614,1
16.5183196789421,1
21.2513546327398,1
4.47289274124732,1
17.7275732607419,1
3.20492846481782,1
18.0959798460689,1
10.6490114520406,1
11.0956419752353,1
-16.1889897508895,2
6.40032702227285,2
-29.4568635032988,2
-16.3785296663552,2
10.6063186580399,2
13.8828295910999,2
-1.85977611563185,2
13.1483727781292,2
-19.4068054545547,2
8.06213449305924,2
-25.9277681584558,2
0.737021757549793,2
5.601727673134,2
18.2992169115158,2
-2.19313401212656,2
5.43354964122686,2
-5.53867615672286,2
-15.5977804268855,2
-5.08608816619026,2
1.66014031533236,2
18.0199198145702,2
-11.3682675218183,2
10.6373217643811,2
0.282171385206851,2
9.38719739610267,2
-1.1044437731408,2
28.8267064366136,2
18.6494452142972,2
19.7091056620802,2
19.4926292153581,2
9.99722451039311,3
-32.1151819510973,3
-38.9471939413664,3
12.2819386914168,3
-12.724388670203,3
17.086149266723,3
-7.93536292703394,3
-33.7942206485399,3
-0.984399813460754,3
22.46748321576,3
8.2937384247058,3
-12.1996245552957,3
-2.3342898941433,3
22.3320886929825,3
0.390113405988526,3
-1.15280651614227,3
-5.2961624308218,3
-9.15473582896747,3
-3.01592343955417,3
-28.3417070642277,3
-18.1738856665921,3
16.5462418867375,3
3.26242624515143,3
11.8449390922006,3
15.4511148773749,3
-3.83632042395438,3
-22.1955430744671,3
-4.58431120529199,3
-4.57180859629224,3
22.8557448613904,3
