"y","group1","group2"
6.20105253835107,1,1
6.91995769190794,1,1
-21.6022217110798,1,1
-8.28436479804665,1,1
-0.00678932952181466,1,1
-6.24245419495961,1,1
19.1954033148643,1,1
4.29319334093925,1,1
-31.0742977289201,1,1
-20.9906467105487,1,1
-2.72307666018117,1,1
26.697389540678,1,1
16.5546736497948,1,1
-24.747046213052,1,1
-15.3168487445335,1,1
-15.1432496205638,1,1
22.3493476440339,1,1
2.28231243466116,1,1
-30.7530710856868,1,1
-8.77018952084055,1,1
-19.8017570096578,1,1
11.5603119001921,1,1
4.77747951841308,1,1
11.8770319491097,1,1
-13.290660888129,1,1
6.59135989111292,1,1
-15.1926073027733,1,1
7.14396976910342,1,1
-4.02648282193908,1,1
-3.35653703714703,1,1
-24.5889897508895,1,1
6.00032702227285,1,2
-29.8568635032988,1,2
-16.7785296663552,1,2
10.2063186580399,1,2
13.4828295910999,1,2
-2.25977611563185,1,2
12.7483727781292,1,2
-19.8068054545547,1,2
7.66213449305924,1,2
-26.3277681584558,1,2
0.337021757549793,1,2
5.201727673134,1,2
17.8992169115158,1,2
-2.59313401212656,1,2
5.03354964122686,1,2
-5.93867615672286,1,2
-15.9977804268855,1,2
-5.48608816619026,1,2
1.26014031533236,1,2
17.6199198145702,1,2
-11.7682675218184,1,2
10.2373217643811,1,2
-0.117828614793149,1,2
8.98719739610267,1,2
-1.5044437731408,1,2
28.4267064366136,1,2
18.2494452142972,1,2
19.3091056620802,1,2
19.0926292153581,1,2
10.4979183827948,1,2
-21.086386463323,1,2
-22.2103954560248,2,1
16.2114540185626,2,1
-2.54329150265228,2,1
19.8146119500422,2,1
1.04847780472455,2,1
-18.3456654864049,2,1
6.26170013990443,2,1
23.85061241182,2,1
13.2203038185294,2,1
-2.14971841647176,2,1
5.24928257939253,2,1
23.7490665197368,2,1
7.29258505449139,2,1
6.1353951128933,2,1
3.02787817688365,2,1
0.133948128274401,2,1
4.73805742033437,2,1
-14.2562802981707,2,1
-6.63041424994407,2,1
19.4096814150531,2,1
9.44681968386357,2,1
15.8837043191505,2,1
18.5883361580312,2,1
4.12275968203421,2,1
-9.64665730585034,2,1
3.561766596031,2,1
3.57114355278082,2,1
24.1418086460428,2,1
1.27740640167277,2,1
30.3652346171499,2,1
6.94441802960342,2,1
8.18084814923295,2,2
-34.9148756710921,2,2
-9.3869680874614,2,2
-24.6047810504339,2,2
9.42651291099792,2,2
-18.3006300213259,2,2
-11.0686325541214,2,2
-5.2417258447642,2,2
13.2352217571988,2,2
-5.21098575721924,2,2
25.2676139505445,2,2
-5.35801956219423,2,2
5.63125322618125,2,2
26.1173270661897,2,2
-7.34177755344361,2,2
-2.52487516982265,2,2
-3.60193682776472,2,2
-14.3037430930967,2,2
5.77208956565683,2,2
11.4562093511777,2,2
-4.41274931319544,2,2
-24.44196206553,2,2
5.35341220101232,2,2
-39.0050736050678,2,2
7.08091181332386,2,2
0.804936744315012,2,2
4.64070753231028,2,2
4.93899488037382,2,2
-13.4171256581486,2,2
-11.3464329500879,2,2
1.81543767110683,2,2
